index,country_index,country,name,logo,website_url,video_url,video_alt_text,video_source
12,0,EU,European Youth Parliament,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/EYP-Logo.png/320px-EYP-Logo.png,https://eyp.org/,,,
13,0,EU,European Steering Committee for Youth (CDEJ),https://www.partitoradicale.it/wp-content/uploads/2021/08/5.jpg,https://www.coe.int/en/web/youth/cdej,,,
14,0,EU,Advisory Council on Youth (CCJ),https://www.partitoradicale.it/wp-content/uploads/2021/08/5.jpg,https://www.coe.int/en/web/youth/advisory-council-on-youth,,,
15,0,EU,European Youth Information and Counselling Agency (ERYICA),https://images.squarespace-cdn.com/content/v1/59ab1130ff7c50083fc9736c/1504872994915-II679N4OEKGALODGK808/1.2+Eryica+Logo+I+Network+I+05.jpg,https://www.eryica.org/eryica,,,
16,1,Germany,"Federal Ministry for the Environment, Nature Conservation, Building and Nuclear Safety (BMUB)",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnmaAVBpGFklIQg9i_isOLQqrhYbdb_Eef9A&usqp=CAU,https://www.bmu.de/en/,,,
17,1,Germany,Federal Ministry for Economic Affairs and Energy (BMWi),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnmaAVBpGFklIQg9i_isOLQqrhYbdb_Eef9A&usqp=CAU,https://www.bmwi.de/Navigation/EN/Home/home.html,,,
18,1,Germany,Federal Ministry of Transport and Digital Infrastructure (BMVI),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnmaAVBpGFklIQg9i_isOLQqrhYbdb_Eef9A&usqp=CAU,https://www.bmvi.de/EN/Home/home.html,,,
19,1,Germany,National Office for (Energy) Cooperatives,https://dachcolombia.com/wp-content/uploads/2017/07/7690_dgrv-confederacion-alemana-de-cooperativas.jpg,https://www.dgrv.coop/,,,
20,1,Germany,Federal Ministry of Food and Agriculture (BMEL),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnmaAVBpGFklIQg9i_isOLQqrhYbdb_Eef9A&usqp=CAU,https://www.bmel.de/EN/Home/home_node.html,,,
21,1,Germany,Federal Ministry for Economic Cooperation and Development (BMZ),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnmaAVBpGFklIQg9i_isOLQqrhYbdb_Eef9A&usqp=CAU,https://www.bmz.de/en ,,,
22,1,Germany,Federal Agency for Nature Conservation (BFN),https://www.renac.de/fileadmin/players/01_Staat/BfN/Logo_DE-EN.jpg,https://www.bfn.de,,,
23,1,Germany,German Wind Energy Association (BWE),https://euref.de/wp-content/uploads/20120110_BWE-Logo-2011-NEU_website.jpg,https://www.wind-energie.de/english/association/,,,
24,1,Germany,German Industry Initiative for Energy Efficiency (DENEFF),https://www.renac.de/fileadmin/players/02_Wirtschaft/02/DENEFF/logo.jpg,https://deneff.org/,,,
25,1,Germany,Academy Project ‘Energy Systems of the Future’,https://res.cloudinary.com/dqmjwsj8t/image/upload/v1632589014/initial_seeds/energy_future_unis_gjn5wp.png,https://energiesysteme-zukunft.de/en/project/the-project-esys,,,
26,1,Germany,adelphi,https://www.plan-adapt.org/wp-content/uploads/2018/10/adelphi-logo.png,https://www.adelphi.de/en,,,
27,1,Germany,German Development Institute (DIE),https://www.die-gdi.de/typo3conf/ext/provider/Resources/Public/Images/die_logo.jpg,https://www.die-gdi.de/en/,,,
28,1,Germany,The Institute for Energy and Environmental Research Heidelberg (IFEU),https://www.eforfuel.eu/wp-content/uploads/2018/06/12-500x500.jpg,https://www.ifeu.de/en/,,,
29,1,Germany,The German Advisory Council on Global Change (WBGU),https://upload.wikimedia.org/wikipedia/commons/3/3f/Wbgu-logo-englisch.png,https://www.wbgu.de/en/,,,
30,1,Germany,Federal Parliament (Bundestag),https://ekladata.com/U2u4c-Vn0DH0apE5tWUgQaWvgwk.png,https://www.bundestag.de/,,,
31,1,Germany,Federal Council (Bundesrat),https://0701.static.prezi.com/preview/v2/hjyqc4xzsaitbia2yx7fpmbnxx6jc3sachvcdoaizecfr3dnitcq_3_0.png,https://www.bundesrat.de/DE/homepage/homepage-node.html,,,
